name	drugA	drugB	concA	concB	hsa
160	37	279	0	0	0
160	37	279	0	0.95	0
160	37	279	81.1	0	0
160	37	279	81.1	0.95	-0.2182792341
160	275	276	0	0	0
160	275	276	0	16.8	0
160	275	276	73.5	0	0
160	275	276	73.5	16.8	0.000512032799999957
160	275	292	0	0	0
160	275	292	0	16.8	0
160	275	292	89.4	0	0
160	275	292	89.4	16.8	0.000512032799999957
160	46	275	0	0	0
160	46	275	16.8	0	0
160	46	275	0	650	0
160	46	275	16.8	650	0.000512032799999957
160	286	294	0	0	0
160	286	294	76.6	0	0
160	286	294	0	132.6	0
160	286	294	76.6	132.6	-0.21705901176
160	288	294	0	0	0
160	288	294	76.6	0	0
160	288	294	0	177	0
160	288	294	76.6	177	-0.1467531468
160	63	288	0	0	0
160	63	288	0	0.4	0
160	63	288	177	0	0
160	63	288	177	0.4	-0.0413966855999999
160	248	281	0	0	0
160	248	281	78	0	0
160	248	281	0	0.1	0
160	248	281	78	0.1	0
160	21	259	0	0	0
160	21	259	28.3	0	0
160	21	259	0	10.3	0
160	21	259	28.3	10.3	0
160	8	295	0	0	0
160	8	295	0	15.4	0
160	8	295	1.4	0	0
160	8	295	1.4	15.4	-0.110064206
160	8	289	0	0	0
160	8	289	0	15.4	0
160	8	289	10	0	0
160	8	289	10	15.4	0.00217560169999999
160	269	289	0	0	0
160	269	289	10	0	0
160	269	289	0	19.8	0
160	269	289	10	19.8	0.0377919239000001
160	273	279	0	0	0
160	273	279	0	178	0
160	273	279	81.1	0	0
160	273	279	81.1	178	-0.3913122131
160	19	288	0	0	0
160	19	288	0	7.5	0
160	19	288	177	0	0
160	19	288	177	7.5	-0.1006046535
160	19	286	0	0	0
160	19	286	0	7.5	0
160	19	286	132.6	0	0
160	19	286	132.6	7.5	0.00120781410000006
160	61	278	0	0	0
160	61	278	333.1	0	0
160	61	278	0	9.9	0
160	61	278	333.1	9.9	0.1199904654
160	33	106	0	0	0
160	33	106	9.8	0	0
160	33	106	0	0.2	0
160	33	106	9.8	0.2	8.12630999999442e-05
160	106	283	0	0	0
160	106	283	0	9.8	0
160	106	283	0.013	0	0
160	106	283	0.013	9.8	-0.0689228288
160	268	284	0	0	0
160	268	284	0	86.7	0
160	268	284	118.7	0	0
160	268	284	118.7	86.7	0.0522003982
160	61	273	0	0	0
160	61	273	0	9.9	0
160	61	273	178	0	0
160	61	273	178	9.9	-0.0264732019
160	14	263	0	0	0
160	14	263	0.46	0	0
160	14	263	0	334.9	0
160	14	263	0.46	334.9	0.0155596444
160	106	264	0	0	0
160	106	264	0	9.8	0
160	106	264	214.1	0	0
160	106	264	214.1	9.8	-0.1437832603
160	281	284	0	0	0
160	281	284	118.7	0	0
160	281	284	0	78	0
160	281	284	118.7	78	0
160	264	291	0	0	0
160	264	291	66.9	0	0
